Supplemental Data1:  Measurements of Protein degradation rates in hydroponic plants Arabidopsis,,,,,,,,,,,,,
Criteria: 1. Quantified KD at least two biological Replicates. 2.At least three peptides were used for KD Measurements.3. Outliers in Major Fun Cats (no less than 4 proteins) were highlighted by Red-Bold Fonts.,,,,,,,,,,,,,
AGI,Anno,Location SUBAcon,bincode,binname,Functional Categories (no less than 4 proteins at the 2nd level Mapcave of binname),WTR1 KD (FCP=2.73),WTR2 KD (FCP=2.51),WTR3 KD (FCP=2.64),WT KD (Average),Rep NO,SD,Pep NO,KD Value Rank (1-455)
AT1G61870.1,  Symbols: PPR336   pentatricopeptide repeat 336   chr1:22865326-22866552 REVERSE LENGTH=408,mitochondrion,#35.1.5,not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein,PPR,0.06,0.05,0.04,0.05,3,0.02,21,199
AT3G49240.1,  Symbols: emb1796   Pentatricopeptide repeat (PPR) superfamily protein   chr3:18256086-18257975 FORWARD LENGTH=629,mitochondrion,#35.1.5,not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein,PPR,0.05,0.06,0.06,0.06,3,0.01,20,233
AT4G36680.1,  Symbols:    Tetratricopeptide repeat (TPR)-like superfamily protein   chr4:17292479-17293717 REVERSE LENGTH=412,mitochondrion,#35.1.5,not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein,PPR,0.08,0.09,0.08,0.08,3,0.01,8,298
AT5G15980.1,  Symbols:    Pentatricopeptide repeat (PPR) superfamily protein   chr5:5213290-5215296 FORWARD LENGTH=668,mitochondrion,#35.1.5,not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein,PPR,0.08,0.1,0.09,0.08,3,0,26,305
AT1G03100.1,  Symbols:    Pentatricopeptide repeat (PPR) superfamily protein   chr1:744026-746407 REVERSE LENGTH=793,mitochondrion,#35.1.5,not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein,PPR,0.09,0.09,0.09,0.09,3,0.01,3,311
AT2G15690.1,  Symbols:    Tetratricopeptide repeat (TPR)-like superfamily protein   chr2:6831855-6833594 REVERSE LENGTH=579,mitochondrion,#35.1.5,not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein,PPR,0.12,0.14,0.05,0.1,3,0.04,6,330
AT1G55890.1,  Symbols:    Tetratricopeptide repeat (TPR)-like superfamily protein   chr1:20901364-20902560 FORWARD LENGTH=398,mitochondrion,#35.1.5,not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein,PPR,0.09,0.11,0.1,0.1,3,0,32,331
AT1G26460.1,  Symbols:    Tetratricopeptide repeat (TPR)-like superfamily protein   chr1:9151816-9154407 FORWARD LENGTH=630,mitochondrion,#35.1.5,not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein,PPR,0.11,0.12,0.12,0.11,3,0.01,33,351
AT3G18020.1,  Symbols:    Pentatricopeptide repeat (PPR) superfamily protein   chr3:6165449-6167515 FORWARD LENGTH=688,mitochondrion,#35.1.5,not assigned.no ontology.pentatricopeptide (PPR) repeat-containing protein,PPR,0.06,0.19,0.2,0.15,3,0.07,4,393
AT2G31240.1,  Symbols:    Tetratricopeptide repeat (TPR)-like superfamily protein   chr2:13317570-13319518 REVERSE LENGTH=617,mitochondrion,#35.1.27,not assigned.no ontology.tetratricopeptide repeat (TPR),PPR,0.18,0.23,0.22,0.21,3,0.01,3,423
AT3G03060.1,  Symbols:    P-loop containing nucleoside triphosphate hydrolases superfamily protein   chr3:692188-695424 FORWARD LENGTH=628,mitochondrion,#29.5.11.20,protein.degradation.ubiquitin.proteasom,Protein Degradation,-0.03,-0.02,-0.03,-0.03,3,0.01,20,3
AT5G51540.1,  Symbols:    Zincin-like metalloproteases family protein   chr5:20932071-20936284 FORWARD LENGTH=706,mitochondrion,#29.5,protein.degradation,Protein Degradation,0,-0.02,-0.05,-0.03,3,0.03,3,7
AT5G36950.1,  Symbols: DegP10   DegP protease 10   chr5:14594992-14598216 FORWARD LENGTH=586,mitochondrion,#29.5.5,protein.degradation.serine protease,Protein Degradation,-0.03,-0.01,-0.01,-0.02,3,0,3,22
AT2G18330.1,  Symbols:    AAA-type ATPase family protein   chr2:7965829-7968915 FORWARD LENGTH=636,mitochondrion,#29.5.9,protein.degradation.AAA type,Protein Degradation,0,0.01,0,0,3,0.01,28,54
AT5G23140.1,"  Symbols: CLPP2, NCLPP7   nuclear-encoded CLP protease P7   chr5:7783811-7784826 FORWARD LENGTH=241",mitochondrion,#29.5.5,protein.degradation.serine protease,Protein Degradation,0.03,0.02,0.02,0.02,3,0.01,23,112
AT5G26860.1,"  Symbols: LON_ARA_ARA, LON1   lon protease 1   chr5:9451183-9456631 FORWARD LENGTH=940",mitochondrion,#29.5.5,protein.degradation.serine protease,Protein Degradation,0.03,0.03,0.03,0.03,3,0.01,55,126
AT1G18600.1,"  Symbols: ATRBL12, RBL12   RHOMBOID-like protein 12   chr1:6400647-6402587 FORWARD LENGTH=336",mitochondrion,#29.5.5,protein.degradation.serine protease,Protein Degradation,0.03,0.03,0.03,0.03,3,0.01,6,133
"AT1G63770.3, AT1G63770.4, AT1G63770.5","  Symbols:    Peptidase M1 family protein   chr1:23657791-23664243 REVERSE LENGTH=987,  Symbols:    Peptidase M1 family protein   chr1:23657791-23663476 REVERSE LENGTH=895,  Symbols:    Peptidase M1 family protein   chr1:23657791-23664243 REVERSE LENGTH=1013",mitochondrion,#29.5,protein.degradation,Protein Degradation,0.04,0.04,0.08,0.05,3,0.03,3,207
AT5G51740.1,  Symbols:    Peptidase family M48 family protein   chr5:21017110-21018987 FORWARD LENGTH=442,mitochondrion,#29.5,protein.degradation,Protein Degradation,0.06,0.07,0.05,0.06,3,0.01,4,243
AT5G53350.1,  Symbols: CLPX   CLP protease regulatory subunit X   chr5:21644060-21647503 FORWARD LENGTH=579,"mitochondrion,peroxisome",#29.5.5,protein.degradation.serine protease,Protein Degradation,,0.14,0.11,0.12,2,0.01,4,358
AT3G50930.1,  Symbols: BCS1   cytochrome BC1 synthesis   chr3:18929817-18931547 FORWARD LENGTH=576,mitochondrion,#29.5.9,protein.degradation.AAA type,Protein Degradation,0.23,-0.19,0.33,0.12,3,0.28,3,364
AT3G19740.1,  Symbols:    P-loop containing nucleoside triphosphate hydrolases superfamily protein   chr3:6855944-6862930 REVERSE LENGTH=993,mitochondrion,#29.5.9,protein.degradation.AAA type,Protein Degradation,,0.31,0.01,0.15,2,0.2,4,397
AT3G19170.1,"  Symbols: ATPREP1, ATZNMP, PREP1   presequence protease 1   chr3:6625578-6631874 REVERSE LENGTH=1080","mitochondrion,plastid",#29.5.7,protein.degradation.metalloprotease,Protein Degradation,0.18,0.25,0.23,0.22,3,0.03,3,429
AT2G29080.1,  Symbols: ftsh3   FTSH protease 3   chr2:12489911-12492999 REVERSE LENGTH=809,mitochondrion,#29.5.9,protein.degradation.AAA type,Protein Degradation,0.31,0.34,0.37,0.34,3,0.03,15,451
AT3G23990.1,"  Symbols: HSP60, HSP60-3B   heat shock protein 60   chr3:8669013-8672278 FORWARD LENGTH=577",mitochondrion,#29.6,protein.folding,Protein Folding,0,0,0,-0.01,3,0.01,72,50
AT3G13860.1,  Symbols: HSP60-3A   heat shock protein 60-3A   chr3:4561704-4565133 REVERSE LENGTH=572,mitochondrion,#29.6,protein.folding,Protein Folding,0.01,0,0,0,3,0.01,82,58
"AT2G33210.1, AT2G33210.2","  Symbols: HSP60-2   heat shock protein 60-2   chr2:14075093-14078568 REVERSE LENGTH=585,  Symbols: HSP60-2   heat shock protein 60-2   chr2:14075093-14078568 REVERSE LENGTH=580",mitochondrion,#29.6,protein.folding,Protein Folding,0.01,0.01,0,0,3,0.01,75,62
AT4G26780.1,  Symbols: AR192   Co-chaperone GrpE family protein   chr4:13485066-13486560 REVERSE LENGTH=327,mitochondrion,#29.6,protein.folding,Protein Folding,0.02,0.01,0.01,0.01,3,0.01,41,88
AT1G14980.1,  Symbols: CPN10   chaperonin 10   chr1:5165930-5166654 REVERSE LENGTH=98,mitochondrion,#29.6,protein.folding,Protein Folding,0.06,0.06,0.06,0.06,3,0.01,31,224
AT5G55200.1,  Symbols:    Co-chaperone GrpE family protein   chr5:22394705-22396335 FORWARD LENGTH=302,mitochondrion,#29.6,protein.folding,Protein Folding,0.17,0.22,0.17,0.19,3,0.02,9,417
"AT3G01790.1, AT3G01790.2","  Symbols:    Ribosomal protein L13 family protein   chr3:283880-285583 REVERSE LENGTH=205,  Symbols:    Ribosomal protein L13 family protein   chr3:283880-285583 REVERSE LENGTH=205",mitochondrion,#29.2.1.2.2.13,protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L13,Protein Synthesis,-0.02,-0.03,-0.03,-0.03,3,0.02,8,4
AT5G27820.1,  Symbols:    Ribosomal L18p/L5e family protein   chr5:9860584-9860928 FORWARD LENGTH=114,mitochondrion,#29.2.1.1.3.2.18,protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L18,Protein Synthesis,0,-0.06,-0.02,-0.03,3,0.04,6,5
"AT3G59650.1, AT3G59650.2","  Symbols:    mitochondrial ribosomal protein L51/S25/CI-B8 family protein   chr3:22033216-22033928 FORWARD LENGTH=119,  Symbols:    mitochondrial ribosomal protein L51/S25/CI-B8 family protein   chr3:22033216-22033928 FORWARD LENGTH=146",mitochondrion,#29.2.1.1.2.51,protein.synthesis.ribosomal protein.prokaryotic.mitochondrion.L51/S25/CI-B8,Protein Synthesis,-0.01,-0.03,-0.04,-0.03,3,0.02,12,10
AT4G39880.1,  Symbols:    Ribosomal protein L23/L15e family protein   chr4:18504601-18505137 FORWARD LENGTH=178,mitochondrion,#29.2.1.99.2.23,protein.synthesis.ribosomal protein.unknown.large subunit.L23,Protein Synthesis,-0.01,-0.02,-0.03,-0.02,3,0.02,10,11
"AT5G46160.1, AT5G46160.2","  Symbols:    Ribosomal protein L14p/L23e family protein   chr5:18711456-18712341 REVERSE LENGTH=173,  Symbols:    Ribosomal protein L14p/L23e family protein   chr5:18711456-18712341 REVERSE LENGTH=172",mitochondrion,#29.2.1.1.3.2.14,protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L14,Protein Synthesis,-0.01,-0.02,-0.02,-0.02,3,0.01,15,16
AT4G30930.1,  Symbols: NFD1   Ribosomal protein L21   chr4:15050170-15051630 REVERSE LENGTH=270,mitochondrion,#29.2.1.1.1.2.21,protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L21,Protein Synthesis,-0.03,-0.01,-0.02,-0.02,3,0,12,17
AT2G18400.1,  Symbols:    ribosomal protein L6 family protein   chr2:7989665-7989973 REVERSE LENGTH=102,mitochondrion,#29.2.1.2.2.6,protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L6,Protein Synthesis,-0.01,-0.01,-0.03,-0.02,3,0.01,10,18
"AT1G70190.1, AT1G70190.2","  Symbols:    Ribosomal protein L7/L12, oligomerisation;Ribosomal protein L7/L12, C-terminal/adaptor protein ClpS-like   chr1:26430616-26431242 FORWARD LENGTH=208,  Symbols:    Ribosomal protein L7/L12, oligomerisation;Ribosomal protein L7/L12, C-terminal/adaptor protein ClpS-like   chr1:26430616-26431242 FORWARD LENGTH=208",mitochondrion,#29.2.1.1.1.2.12,protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L12,Protein Synthesis,-0.01,-0.02,-0.02,-0.02,3,0.01,8,19
AT1G16740.1,  Symbols:    Ribosomal protein L20   chr1:5727773-5728950 FORWARD LENGTH=126,mitochondrion,#29.2.1.1.3.2.20,protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L20,Protein Synthesis,-0.03,0,-0.02,-0.02,3,0.01,10,21
AT3G17465.1,  Symbols: RPL3P   ribosomal protein L3 plastid   chr3:5978059-5979572 REVERSE LENGTH=324,mitochondrion,#29.2.1.1.1.2.3,protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L3,Protein Synthesis,-0.01,-0.01,-0.02,-0.02,3,0.01,19,23
AT1G26740.1,  Symbols:    Ribosomal L32p protein family   chr1:9245280-9246555 REVERSE LENGTH=134,mitochondrion,#29.2.1.1.3.2.32,protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L32,Protein Synthesis,-0.02,-0.03,0.01,-0.02,3,0.03,3,27
AT5G56940.1,  Symbols:    Ribosomal protein S16 family protein   chr5:23030879-23032200 FORWARD LENGTH=135,mitochondrion,#29.2.1.1.3.1.16,protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.30S subunit.S16,Protein Synthesis,-0.01,-0.02,-0.01,-0.02,3,0.02,7,28
AT5G53070.1,  Symbols:    Ribosomal protein L9/RNase H1   chr5:21518837-21520167 FORWARD LENGTH=221,mitochondrion,#29.2.1.1.3.2.9,protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L9,Protein Synthesis,0,-0.01,-0.03,-0.01,3,0.02,20,29
AT2G20060.1,  Symbols:    Ribosomal protein L4/L1 family   chr2:8659384-8661227 FORWARD LENGTH=300,mitochondrion,#29.2.1.1.3.2.4,protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L4,Protein Synthesis,0.01,-0.02,-0.03,-0.01,3,0.03,23,31
AT1G07830.1,  Symbols:    ribosomal protein L29 family protein   chr1:2422549-2423392 FORWARD LENGTH=144,mitochondrion,#29.2.1.1.2.2.29,protein.synthesis.ribosomal protein.prokaryotic.mitochondrion.50S subunit.L29,Protein Synthesis,-0.02,-0.01,-0.01,-0.01,3,0.01,18,33
AT3G01740.1,  Symbols:    Mitochondrial ribosomal protein L37   chr3:268118-268498 FORWARD LENGTH=126,mitochondrion,#29.2.1.1.2.2.37,protein.synthesis.ribosomal protein.prokaryotic.mitochondrion.50S subunit.L37,Protein Synthesis,0,-0.02,-0.02,-0.01,3,0.02,9,34
"AT2G16930.1, AT2G16930.2, AT2G16930.3, AT5G15220.1","  Symbols:    Ribosomal protein L27 family protein   chr2:7341492-7342118 FORWARD LENGTH=154,  Symbols:    Ribosomal protein L27 family protein   chr2:7341492-7342118 FORWARD LENGTH=154,  Symbols:    Ribosomal protein L27 family protein   chr2:7341492-7342118 FORWARD LENGTH=154,  Symbols:    Ribosomal protein L27 family protein   chr5:4941466-4942133 REVERSE LENGTH=154",mitochondrion,#29.2.1.1.1.2.27,protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L27,Protein Synthesis,0,-0.02,-0.01,-0.01,3,0.02,5,35
AT5G55140.1,  Symbols:    ribosomal protein L30 family protein   chr5:22381370-22381787 FORWARD LENGTH=109,mitochondrion,#29.2.1.1.3.2.30,protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L30,Protein Synthesis,-0.01,-0.01,-0.01,-0.01,3,0.01,19,37
AT4G37660.1,  Symbols:    Ribosomal protein L12/ ATP-dependent Clp protease adaptor protein ClpS family protein   chr4:17695543-17696046 FORWARD LENGTH=167,mitochondrion,#29.2.1.1.3.2.12,protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L12,Protein Synthesis,0,0,-0.02,-0.01,3,0.02,11,38
AT4G35490.1,  Symbols: MRPL11   mitochondrial ribosomal protein L11   chr4:16855918-16856385 FORWARD LENGTH=155,mitochondrion,#29.2.1.1.1.2.11,protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L11,Protein Synthesis,0,-0.01,-0.02,-0.01,3,0.02,12,39
ATMG00090.1,  Symbols:    structural constituent of ribosome;protein binding   chrM:25482-28733 REVERSE LENGTH=556,mitochondrion,#29.2.1.1.2.1.3,protein.synthesis.ribosomal protein.prokaryotic.mitochondrion.30S subunit.S3,Protein Synthesis,0.05,-0.03,-0.05,-0.01,3,0.06,9,40
AT1G16870.1,  Symbols:    mitochondrial 28S ribosomal protein S29-related   chr1:5770964-5773157 REVERSE LENGTH=480,mitochondrion,#29.2.1.1.2.1.29,protein.synthesis.ribosomal protein.prokaryotic.mitochondrion.30S subunit.S29,Protein Synthesis,0,0,-0.01,-0.01,3,0.01,19,43
ATMG00080.1,  Symbols: RPL16   ribosomal protein L16   chrM:25076-25615 REVERSE LENGTH=179,mitochondrion,#29.2.1.1.2.1.16,protein.synthesis.ribosomal protein.prokaryotic.mitochondrion.30S subunit.S16,Protein Synthesis,-0.02,0,0,-0.01,3,0.01,3,44
"AT3G06040.1, AT3G06040.2, AT3G06040.3","  Symbols:    Ribosomal protein L12/ ATP-dependent Clp protease adaptor protein ClpS family protein   chr3:1824516-1825076 REVERSE LENGTH=186,  Symbols:    Ribosomal protein L12/ ATP-dependent Clp protease adaptor protein ClpS family protein   chr3:1824516-1825076 REVERSE LENGTH=186,  Symbols:    Ribosomal protein L12/ ATP-dependent Clp protease adaptor protein ClpS family protein   chr3:1824516-1825076 REVERSE LENGTH=186",mitochondrion,#29.2.1.1.1.2.12,protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L12,Protein Synthesis,0,0,-0.01,-0.01,3,0.01,25,45
AT3G12370.1,  Symbols:    Ribosomal protein L10 family protein   chr3:3937464-3937979 REVERSE LENGTH=171,mitochondrion,#29.2.1.1.3.2.10,protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L10,Protein Synthesis,0,0,-0.02,-0.01,3,0.02,10,47
"AT2G07696.1, ATMG01270.1","  Symbols:    Ribosomal protein S7p/S5e family protein   chr2:3351340-3351786 REVERSE LENGTH=148,  Symbols: RPS7   mitochondrial ribosomal protein S7   chrM:314627-315073 FORWARD LENGTH=148",mitochondrion,#29.2.1.1.2.1.7,protein.synthesis.ribosomal protein.prokaryotic.mitochondrion.30S subunit.S7,Protein Synthesis,0.01,0.01,-0.03,-0.01,3,0.02,4,48
AT5G66860.1,"  Symbols:    Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain   chr5:26701233-26702531 REVERSE LENGTH=249",mitochondrion,#29.2.1.1.3.2.25,protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L25,Protein Synthesis,0,0.01,-0.02,0,3,0.01,20,51
AT4G31460.1,  Symbols:    Ribosomal L28 family   chr4:15259773-15260847 REVERSE LENGTH=212,mitochondrion,#29.2.1.1.3.2.28,protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L28,Protein Synthesis,0.02,0,0,0,3,0.02,5,61
AT3G22300.1,  Symbols: RPS10   ribosomal protein S10   chr3:7885737-7886613 FORWARD LENGTH=241,mitochondrion,#29.2.1.1.2.1.10,protein.synthesis.ribosomal protein.prokaryotic.mitochondrion.30S subunit.S10,Protein Synthesis,0.02,0.01,-0.01,0,3,0.02,3,66
AT2G42710.1,  Symbols:    Ribosomal protein L1p/L10e family   chr2:17782352-17784830 FORWARD LENGTH=415,mitochondrion,#29.2.1.1.3.2.1,protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L1,Protein Synthesis,0,0.03,-0.01,0.01,3,0.01,27,68
AT5G44710.1,"  Symbols:    CONTAINS InterPro DOMAIN/s: Ribosomal protein S27/S33, mitochondrial (InterPro:IPR013219); Has 101 Blast hits to 101 proteins in 55 species: Archae - 0; Bacteria - 0; Metazoa - 8; Fungi - 59; Plants - 26; Viruses - 0; Other Eukaryotes - 8 (source: NCBI BLink).   chr5:18041621-18042322 FORWARD LENGTH=102",mitochondrion,#29.2.1.1.2.1.27,protein.synthesis.ribosomal protein.prokaryotic.mitochondrion.30S subunit.S27,Protein Synthesis,0.01,0,0.01,0.01,3,0.01,6,69
AT2G34520.1,  Symbols: RPS14   mitochondrial ribosomal protein S14   chr2:14548218-14548712 REVERSE LENGTH=164,mitochondrion,#29.2.1.1.2.1.14,protein.synthesis.ribosomal protein.prokaryotic.mitochondrion.30S subunit.S14,Protein Synthesis,0.02,0.01,0,0.01,3,0.02,4,78
AT1G15810.1,"  Symbols:    S15/NS1, RNA-binding protein   chr1:5444496-5446271 FORWARD LENGTH=419",mitochondrion,#29.2.1.1.3.1.15,protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.30S subunit.S15,Protein Synthesis,0.04,0.01,-0.01,0.01,3,0.03,4,81
AT4G36420.1,  Symbols:    Ribosomal protein L12 family protein   chr4:17203718-17204257 REVERSE LENGTH=179,mitochondrion,#29.2.1.1.1.2.12,protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L12,Protein Synthesis,0.03,0.02,0,0.01,3,0.02,11,85
AT1G77750.1,  Symbols:    Ribosomal protein S13/S18 family   chr1:29230346-29231490 REVERSE LENGTH=154,mitochondrion,#29.2.1.1.1.1.13,protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S13,Protein Synthesis,0.02,0.02,0.01,0.01,3,0.01,14,89
AT4G02930.1,  Symbols:    GTP binding Elongation factor Tu family protein   chr4:1295751-1298354 REVERSE LENGTH=454,mitochondrion,#29.2.4,protein.synthesis.elongation,Protein Synthesis,0.02,0.02,0.01,0.02,3,0.01,69,95
AT5G47320.1,  Symbols: RPS19   ribosomal protein S19   chr5:19203801-19204951 FORWARD LENGTH=212,mitochondrion,#29.2.1.2.1.19,protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S19,Protein Synthesis,0.03,0.03,0.01,0.02,3,0.01,8,106
AT1G64880.1,  Symbols:    Ribosomal protein S5 family protein   chr1:24105713-24108780 FORWARD LENGTH=515,mitochondrion,#29.2.1.1.3.1.5,protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.30S subunit.S5,Protein Synthesis,0.02,0.04,0.01,0.02,3,0.01,14,108
AT1G31817.1,  Symbols: NFD3   Ribosomal L18p/L5e family protein   chr1:11414932-11416356 REVERSE LENGTH=314,mitochondrion,#29.2.1.1.2.1.11,protein.synthesis.ribosomal protein.prokaryotic.mitochondrion.30S subunit.S11,Protein Synthesis,0.04,0.02,0.02,0.03,3,0.02,16,120
AT3G26360.1,  Symbols:    Ribosomal protein S21 family protein   chr3:9655963-9656373 REVERSE LENGTH=101,mitochondrion,#29.2.1.99.99,protein.synthesis.ribosomal protein.unknown.unknown,Protein Synthesis,0.06,0.02,0.01,0.03,3,0.04,6,122
AT3G49080.1,  Symbols:    Ribosomal protein S5 domain 2-like superfamily protein   chr3:18194500-18196657 REVERSE LENGTH=430,mitochondrion,#29.2.1.99.1.9,protein.synthesis.ribosomal protein.unknown.small subunit.S9,Protein Synthesis,0.05,0.06,-0.01,0.03,3,0.04,9,140
AT1G07210.1,  Symbols:    Ribosomal protein S18   chr1:2215320-2216668 FORWARD LENGTH=261,mitochondrion,#29.2.1.1.3.1.18,protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.30S subunit.S18,Protein Synthesis,0.03,0.05,0.04,0.04,3,0,8,159
AT3G03600.1,  Symbols: RPS2   ribosomal protein S2   chr3:867847-868506 REVERSE LENGTH=219,mitochondrion,#29.2.1.1.2.1.2,protein.synthesis.ribosomal protein.prokaryotic.mitochondrion.30S subunit.S2,Protein Synthesis,0.08,0.09,0.08,0.08,3,0,21,292
"AT2G44065.1, AT2G44065.2","  Symbols:    Ribosomal protein L2 family   chr2:18228860-18230368 FORWARD LENGTH=214,  Symbols:    Ribosomal protein L2 family   chr2:18228860-18230368 FORWARD LENGTH=214",mitochondrion,#29.2.1.1.3.2.2,protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L2,Protein Synthesis,,0.1,0.14,0.11,2,0.04,3,352
"AT2G31060.2, AT2G31060.3","  Symbols:    elongation factor family protein   chr2:13213496-13218544 REVERSE LENGTH=667,  Symbols:    elongation factor family protein   chr2:13213496-13218544 REVERSE LENGTH=671",mitochondrion,#29.2.4,protein.synthesis.elongation,Protein Synthesis,0.12,0.14,0.11,0.12,3,0.01,5,366
AT4G11120.1,"  Symbols:    translation elongation factor Ts (EF-Ts), putative   chr4:6778066-6779934 FORWARD LENGTH=395",mitochondrion,#29.2.4,protein.synthesis.elongation,Protein Synthesis,0.18,0.19,0.18,0.18,3,0,14,413
AT3G20000.1,  Symbols: TOM40   translocase of the outer mitochondrial membrane 40   chr3:6967685-6970247 FORWARD LENGTH=309,mitochondrion,#29.3.2,protein.targeting.mitochondria,Protein Targeting,-0.01,-0.01,-0.01,-0.01,3,0.01,50,42
AT5G50810.1,  Symbols: TIM8   translocase inner membrane subunit 8   chr5:20675875-20676505 REVERSE LENGTH=77,mitochondrion,#29.3.2,protein.targeting.mitochondria,Protein Targeting,0.02,0.03,0.02,0.02,3,0,4,113
AT3G46560.1,"  Symbols: TIM9, emb2474   Tim10/DDP family zinc finger protein   chr3:17138632-17139301 FORWARD LENGTH=93",mitochondrion,#29.3.2,protein.targeting.mitochondria,Protein Targeting,0.03,0.02,0.03,0.03,3,0.01,9,124
AT3G16480.1,  Symbols: MPPalpha   mitochondrial processing peptidase alpha subunit   chr3:5599906-5602716 FORWARD LENGTH=499,mitochondrion,#29.3.2,protein.targeting.mitochondria,Protein Targeting,0.04,0.04,0.03,0.04,3,0.01,20,151
AT1G61570.1,  Symbols: TIM13   translocase of the inner mitochondrial membrane 13   chr1:22718897-22719473 REVERSE LENGTH=87,mitochondrion,#29.3.2,protein.targeting.mitochondria,Protein Targeting,0.06,0.05,0.04,0.05,3,0.02,6,186
"AT2G42210.1, AT2G42210.2, AT2G42210.3, AT2G42210.4","  Symbols: ATOEP16-3, OEP16-3   Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein   chr2:17590642-17591591 FORWARD LENGTH=159,  Symbols: ATOEP16-3, OEP16-3   Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein   chr2:17590600-17591591 FORWARD LENGTH=173,  Symbols: ATOEP16-3, OEP16-3   Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein   chr2:17590642-17591591 FORWARD LENGTH=159,  Symbols: ATOEP16-3, OEP16-3   Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein   chr2:17590642-17591591 FORWARD LENGTH=159",mitochondrion,#29.3.2,protein.targeting.mitochondria,Protein Targeting,0.07,0.06,0.06,0.06,3,0.01,20,249
AT3G02090.1,  Symbols: MPPBETA   Insulinase (Peptidase family M16) protein   chr3:365624-368526 FORWARD LENGTH=531,mitochondrion,#29.3.2,protein.targeting.mitochondria,Protein Targeting,0.07,0.08,0.08,0.08,3,0.01,6,282
AT1G51980.1,  Symbols:    Insulinase (Peptidase family M16) protein   chr1:19323692-19326771 REVERSE LENGTH=503,mitochondrion,#29.3.2,protein.targeting.mitochondria,Protein Targeting,0.08,0.09,0.08,0.08,3,0.01,9,294
AT2G46470.1,  Symbols: OXA1L   inner membrane protein OXA1-like   chr2:19072659-19074948 FORWARD LENGTH=431,mitochondrion,#29.3.2,protein.targeting.mitochondria,Protein Targeting,0.07,0.08,0.1,0.08,3,0.01,6,296
AT2G36070.1,"  Symbols: ATTIM44-2, TIM44-2   translocase inner membrane subunit 44-2   chr2:15145119-15147895 REVERSE LENGTH=469",mitochondrion,#29.3.2,protein.targeting.mitochondria,Protein Targeting,0.07,0.09,0.1,0.09,3,0.01,22,307
AT5G11690.1,"  Symbols: ATTIM17-3, TIM17-3   translocase inner membrane subunit 17-3   chr5:3761759-3762160 FORWARD LENGTH=133",mitochondrion,#29.3.2,protein.targeting.mitochondria,Protein Targeting,0.11,0.12,0.12,0.11,3,0.01,3,355
AT1G27390.1,  Symbols: TOM20-2   translocase outer membrane 20-2   chr1:9513469-9514912 REVERSE LENGTH=210,mitochondrion,#29.3.2,protein.targeting.mitochondria,Protein Targeting,0.14,0.16,0.16,0.15,3,0,16,396
