Locus Identifier	Gene Model Name	Gene Model Description	Gene Model Type	Primary Gene Symbol	All Gene Symbols
AT1G76230	AT1G76230.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G32487	AT2G32487.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G18636	AT5G18636.1	Ta11-like non-LTR retrotransposon;(source:Araport11)	protein_coding			
AT4G10880	AT4G10880.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G66052	AT5G66052.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G15790	AT1G15790.1	mediator of RNA polymerase II transcription subunit 15a-like protein;(source:Araport11)	protein_coding			
AT2G46000	AT2G46000.1	LDL receptor wingless signaling/trafficking chaperone;(source:Araport11)	protein_coding			
AT5G44660	AT5G44660.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G27770	AT3G27770.1	plant/protein;(source:Araport11)	protein_coding			
AT5G61865	AT5G61865.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G28100	AT1G28100.4	hypothetical protein;(source:Araport11)	protein_coding			
AT5G46850	AT5G46850.2	phosphatidylinositol-glycan biosynthesis class X-like protein;(source:Araport11)	protein_coding			
AT5G03460	AT5G03460.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G07772	AT2G07772.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G53220	AT5G53220.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G28070	AT1G28070.1	ATP-dependent RNA helicase;(source:Araport11)	protein_coding			
AT3G05450	AT3G05450.1	cystatin-like protein;(source:Araport11)	protein_coding			
AT3G29791	AT3G29791.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G78030	AT1G78030.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G02910	AT4G02910.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G23930	AT3G23930.1	troponin T, skeletal protein;(source:Araport11)	protein_coding			
AT3G17261	AT3G17261.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G31570	AT4G31570.1	nucleoporin;(source:Araport11)	protein_coding			
AT4G23271	AT4G23271.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G28920	AT5G28920.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G37960	AT2G37960.1	myosin-M heavy protein;(source:Araport11)	protein_coding			
AT4G30050	AT4G30050.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G31351	AT4G31351.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT3G04560	AT3G04560.1	nucleolar/coiled-body phosphoprotein;(source:Araport11)	protein_coding			
AT1G27990	AT1G27990.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G56520	AT5G56520.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G10336	AT5G10336.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT3G62380	AT3G62380.1	F-box/associated interaction domain protein;(source:Araport11)	protein_coding			
AT4G30750	AT4G30750.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G56870	AT3G56870.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G28170	AT4G28170.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G32650	AT1G32650.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G38400	AT5G38400.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G19480	AT5G19480.1	mediator of RNA polymerase II transcription subunit;(source:Araport11)	protein_coding			
AT1G06135	AT1G06135.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G06380	AT5G06380.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G65925	AT5G65925.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G22120	AT1G22120.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G22040	AT5G22040.1	ubiquitin carboxyl-terminal hydrolase;(source:Araport11)	protein_coding			
AT3G29790	AT3G29790.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G50800	AT3G50800.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G32930	AT3G32930.1	Protein of unknown function. Locus is correlated with bacterial hypersensitive response, expression is reduced after injection with avrRpm1.	protein_coding			
AT2G17442	AT2G17442.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G19500	AT1G19500.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G57123	AT5G57123.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G18920	AT2G18920.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G07779	AT2G07779.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G43833	AT3G43833.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G66290	AT5G66290.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G29140	AT3G29140.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G28540	AT1G28540.1	Tail-anchored (TA) OEP membrane protein which possesses a single C-terminal transmembrane domain targeting post-translationally to plastids.	protein_coding			
AT5G55570	AT5G55570.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G28885	AT5G28885.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G19274	AT3G19274.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G59670	AT3G59670.1	elongation factor;(source:Araport11)	protein_coding			
AT2G31850	AT2G31850.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G13422	AT2G13422.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G45380	AT2G45380.1	myeloid leukemia factor;(source:Araport11)	protein_coding			
AT2G21185	AT2G21185.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G11910	AT2G11910.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G33050	AT1G33050.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G41420	AT5G41420.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT3G11165	AT3G11165.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G22250	AT1G22250.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G12462	AT2G12462.1	sterile alpha motif (SAM) domain protein;(source:Araport11)	protein_coding			
AT1G55207	AT1G55207.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G36100	AT5G36100.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G36080	AT5G36080.1	Myb/SANT-like DNA-binding domain protein;(source:Araport11)	protein_coding			
AT1G62780	AT1G62780.1	dimethylallyl, adenosine tRNA methylthiotransferase;(source:Araport11)	protein_coding			
AT4G38092	AT4G38092.1	exportin-4 protein;(source:Araport11)	protein_coding			
AT3G27050	AT3G27050.1	plant/protein;(source:Araport11)	protein_coding			
AT3G27250	AT3G27250.1	hypothetical protein;(source:Araport11)	protein_coding	 (AITR1)	DIG-LIKE 4 (DIL4); (AITR1)	
AT5G40790	AT5G40790.1	hypothetical protein;(source:Araport11)	protein_coding	 (AITR3)	 (AITR3);DIG-LIKE 2 (DIL2)	
AT5G40800	AT5G40800.1	hypothetical protein;(source:Araport11)	protein_coding	 (AITR4)	 (AITR4);DIG-LIKE 3 (DIL3)	
AT5G64400	AT5G64400.2	CHCH domain protein;(source:Araport11)	protein_coding	 (AT12CYS-1)	 (AT12CYS-1)	
AT5G10310	AT5G10310.1	EPIDERMAL PATTERNING FACTOR-like protein;(source:Araport11)	protein_coding	 (ATEPFL1)	 (ATEPFL1)	
AT4G37810	AT4G37810.1	EPIDERMAL PATTERNING FACTOR-like protein;(source:Araport11)	protein_coding	 (ATEPFL2)	 (ATEPFL2)	
AT1G80133	AT1G80133.1	EPIDERMAL PATTERNING FACTOR-like protein;(source:Araport11)	protein_coding	 (ATEPFL8)	 (ATEPFL8)	
AT1G17780	AT1G17780.2	ATG8A/F interacting protein containing a WxxL LIR motif at the C terminus which is essential for interaction with ATG8. Stress (abiotic or biotic) results in the formation of ATG8- and ATI3-labeled punctate structures, likely reflecting increased formation of ATG8-labeled phagophores or autophagosomes. ATI3 proteins probably act as selective autophagy receptors that target specific cellular components during the plant stress response. ATI3 proteins are delivered to the vacuole under ER stress in an autophagy-dependent manner.	protein_coding	 (ATI3A)	 (ATI3A)	
AT2G16575	AT2G16575.1	ATG8A/F interacting protein containing a WxxL LIR motif at the C terminus which is essential for interaction with ATG8. Stress (abiotic or biotic) results in the formation of ATG8- and ATI3-labeled punctate structures, likely reflecting increased formation of ATG8-labeled phagophores or autophagosomes. ATI3 proteins probably act as selective autophagy receptors that target specific cellular components during the plant stress response. ATI3 proteins are delivered to the vacuole under ER stress in an autophagy-dependent manner.	protein_coding	 (ATI3B)	 (ATI3B)	
AT1G73130	AT1G73130.1	ATG8A/F interacting protein containing a WxxL LIR motif at the C terminus which is essential for interaction with ATG8. Stress (abiotic or biotic) results in the formation of ATG8- and ATI3-labeled punctate structures, likely reflecting increased formation of ATG8-labeled phagophores or autophagosomes. ATI3 proteins probably act as selective autophagy receptors that target specific cellular components during the plant stress response. ATI3 proteins are delivered to the vacuole under ER stress in an autophagy-dependent manner.	protein_coding	 (ATI3C)	 (ATI3C)	
AT5G26770	AT5G26770.2	NEAP2 is a member of a small family containing coiled-coil domains, a nuclear localization signal and a C-terminal predicted transmembrane domain. It localizes to the nuclear periphery. Mutants have altered nuclear morphology and chromatin structure.	protein_coding	 (ATNEAP2)	 (ATNEAP2)	
AT1G09470	AT1G09470.1	NEAP3 is a member of a small family containing coiled-coil domains, a nuclear localization signal and a C-terminal predicted transmembrane domain. It localizes to the nuclear periphery. Mutants have altered nuclear morphology and chromatin structure.	protein_coding	 (ATNEAP3)	 (ATNEAP3)	
AT1G09483	AT1G09483.1	myosin heavy chain, cardiac protein;(source:Araport11)	protein_coding	 (ATNEAP4)	 (ATNEAP4)	
AT5G57345	AT5G57345.1	OXR is a single copy gene in Arabidopsis. It is localized to the ER. It is expressed throughout the plant and expression is induced in response to abiotic stress. While the function of OXR is unknown, overexpression results in increased abiotic stress tolerance and increased ascorbic acid content.	protein_coding	 (ATOXR)	 (ATOXR)	
AT3G01720	AT3G01720.1	peptidyl serine alpha-galactosyltransferase;(source:Araport11)	protein_coding	 (ATSERGT1)	 (ATSERGT1)	
AT5G51170	AT5G51170.1	U6 snRNA phosphodiesterase-like protein;(source:Araport11)	protein_coding	 (ATUSB1)	 (ATUSB1)	
AT3G12300	AT3G12300.1	Similar to Bug22p in Paramecium, a conserved centrosomal/ciliary protein. This protein is widespread in eukaryotes harboring centrioles/cilia at some stage of their life cycles. Among eukaryotes devoid of centrioles/cilia, plants possess BUG22 genes whereas some fungi (at least ascomycetes) do not.	protein_coding	 (BUG22)	 (BUG22); (ATBUG22)	
AT2G33510	AT2G33510.2	CFL1 is a negative regulator of cuticle development. Overexpression of CFL1 causes defects in cuticle formation. Interacts with FBH1, FBH3 and HDG1 to regulate cuticle formation.  The physical interaction requires the C terminal 50 amino acids.	protein_coding	 (CFL1)	 (CFL1)	
AT3G49720	AT3G49720.1	Encodes CGR2 (cotton Golgi-related 2). CGR2 and a close homologue CGR3 have overlapping roles in plant growth and pectin methylesterification in the Golgi apparatus.	protein_coding	 (CGR2)	 (CGR2)	
AT1G19140	AT1G19140.2	ubiquinone biosynthesis COQ9-like protein;(source:Araport11)	protein_coding	 (COQ9)	 (COQ9)	
AT3G19780	AT3G19780.1	hypothetical protein;(source:Araport11)	protein_coding	 (DUF179)	 (DUF179)	
AT3G27100	AT3G27100.2	ENY2 is a component of the deubiquitination module of the SAGA complex and is involved in the deubiquitination of histone 2B .	protein_coding	 (ENY2)	 (ENY2)	
AT1G67170	AT1G67170.1	sarcolemmal membrane-associated protein;(source:Araport11)	protein_coding	 (FLL2)	 (FLL2)	
AT5G06270	AT5G06270.1	One of two plant specific paralogs of unknown function. Interacts with GL2. GIR1/GIR2 loss of function resembles gl2 lof mutations	protein_coding	 (GIR1)	 (GIR1)	
AT3G11600	AT3G11600.1	One of two plant specific paralogs of unknown function. Interacts with GL2. GIR1/GIR2 loss of function resembles gl2 lof mutations.	protein_coding	 (GIR2)	 (GIR2)	
AT5G08720	AT5G08720.1	Encodes PIN2 PROMOTER BINDING PROTEIN 1 (PPP1), an evolutionary conserved plant-specific DNA binding protein that acts on transcription of PIN genes. Also named as HCF145. Mutations in HCF145 have reduced level of the tricistronic psaA-psaB-rps (small-subunit ribosomal protein)14 mRNA which encodes for the major subunits of the photosystem I (PSI). HCF145 binds to the 5'UTR of PSAA via a novel TMR domain. It functions to stabilize the PSAA transcript.	protein_coding	 (HCF145)	PIN2 PROMOTER BINDING PROTEIN 1 (PPP1); (HCF145);HIGH CHLOROPHYLL FLUORESCENCE 145 (HCF145)	
AT5G05300	AT5G05300.1	IDL6 peptide is induced in response to Pathogen-Associated Molecular Patterns (PAMPs). Overexpression of IDL6  results in increased susceptibility to pathogens.	protein_coding	 (IDL6)	 (IDL6)	
AT3G24750	AT3G24750.1	Encodes a member of the LAZY gene family that is expressed in the hypocotyl and the root	protein_coding	 (LAZY5)	 (LAZY5)	
AT3G27025	AT3G27025.1	Encodes a member of the LAZY gene family that is expressed in the shoot apex.	protein_coding	 (LAZY6)	 (LAZY6)	
AT4G02800	AT4G02800.1	GRIP/coiled-coil protein;(source:Araport11)	protein_coding	 (MADA1)	 (MADA1)	
AT5G01970	AT5G01970.1	unknown protein;(source:TAIR10)	protein_coding	 (MADA2)	 (MADA2)	
AT1G30050	AT1G30050.1	tropomyosin;(source:Araport11)	protein_coding	 (MADA3)	 (MADA3)	
AT2G30530	AT2G30530.1	zinc finger CCCH domain protein;(source:Araport11)	protein_coding	 (MADA4)	 (MADA4)	
AT5G12230	AT5G12230.1	mediator of RNA polymerase II transcription subunit 19a-like protein;(source:Araport11)	protein_coding	 (MED19A)	 (MED19A)	
AT1G55080	AT1G55080.1	mediator of RNA polymerase II transcription subunit-like protein;(source:Araport11)	protein_coding	 (MED9)	 (MED9)	
AT4G39690	AT4G39690.1	Encodes a homolog of the yeast mic60 protein that is localized in the inner membrane of the mitochondrion, interacts with Tom40 as part of a large lipid-enriched complex called the mitochondrial transmembrane lipoprotein complex (MTL) and is involved in mitochondrial lipid trafficking.	protein_coding	 (MIC60)	 (MIC60)	
AT3G54630	AT3G54630.1	kinetochore protein;(source:Araport11)	protein_coding	 (NDC80)	 (NDC80)	
AT2G04039	AT2G04039.3	NdhV is loosely associated with the NDH complex and is required for stabilizing NDH subcomplexes A and E.	protein_coding	 (NDHV)	 (NDHV)	
AT5G41190	AT5G41190.1	Encodes a cytoplasmic protein with RNA endonuclease activity. Mutants display aberrant RNA processing and male and female gametophyte development.	protein_coding	 (NOB1)	 (NOB1); (ATNOB1)	
AT5G18420	AT5G18420.2	CCR4-NOT transcription complex subunit;(source:Araport11)	protein_coding	 (NOT11)	 (NOT11)	
AT1G34770	AT1G34770.1	Encodes a nuclear localized,  structural subunit of the SMC 5/6 complex and a non- SMC element. Loss of function results in abnormal cell division and embryo lethality. Analysis of partially rescued lines indicates a role in double strand break DNA repair. Similar phenotype to NSE1 which it also interacts with.	protein_coding	 (NSE3)	 (NSE3)	
AT1G61000	AT1G61000.1	kinetochore protein;(source:Araport11)	protein_coding	 (NUF2)	 (NUF2)	
AT3G10650	AT3G10650.1	Encodes a nucleoporin involved in mRNA export from the nucleus.  It is also involved in the regulation of nuclear morphology.	protein_coding	 (NUP1)	 (AtNUP1);ECTOPIC EXPRESSION OF SEED STORAGE PROTEINS 1 (ESSP1); (AtTHP1); (NUP1)	
AT3G14120	AT3G14120.1	nuclear pore complex protein;(source:Araport11)	protein_coding	 (NUP107)	 (NUP107)	
AT1G24310	AT1G24310.1	nuclear pore complex protein;(source:Araport11)	protein_coding	 (NUP54)	 (NUP54)	
AT3G57990	AT3G57990.1	Encodes a ?-barrel protein, named OEP40, locates in in the outer envelope of chloroplasts, and functions as a solute channel which is selectively permeable for glucose.	protein_coding	 (OEP40)	 (OEP40)	
AT4G31880	AT4G31880.1	One of 5 PO76/PDS5 cohesion cofactor orthologs of Arabidopsis.	protein_coding	 (PDS5C)	 (ATPDS5C); (PDS5C)	
AT1G49290	AT1G49290.1	Rho guanine nucleotide exchange factor;(source:Araport11)	protein_coding	 (PEG2)	 (PEG2)	
AT4G14450	AT4G14450.1	A member of a small family of proline/serine rich proteins of unknown function. It interacts with defense related MAP kinase MPK6. It's expression is induced by PAMP elicitors. May play a role in response to pathogens.	protein_coding	 (PH1)	 (PH1)	
AT1G04330	AT1G04330.1	A proline/serine rich protein of unknown function. It interacts with defense related MAP kinase MPK6 and others. May be involved in signaling during defense or stress response.	protein_coding	 (PH2)	 (PH2)	
AT1G54590	AT1G54590.1	pre-mRNA-splicing factor-like protein;(source:Araport11)	protein_coding	 (PRP18B)	 (PRP18B)	
AT1G08390	AT1G08390.1	Involved in preserving the stability of 45S  rDNA repeats.	protein_coding	 (RMI2)	 (RMI2)	
AT4G38490	AT4G38490.1	transmembrane protein;(source:Araport11)	protein_coding	 (SECE2)	 (SECE2)	
AT5G58575	AT5G58575.1	Component of the deubiquitination module of the SAGA complex.	protein_coding	 (SGF11)	 (SGF11)	
AT3G06600	AT3G06600.1	At3G06600 encodes the plant KASH protein SINE3; SINE3 interacts with SUN1 and SUN2 and is localized at the nuclear envelope.	protein_coding	 (SINE3)	 (SINE3)	
AT4G24950	AT4G24950.1	Encodes the plant KASH protein SINE4; SINE4 interacts with SUN1 and SUN2 and is localized at the nuclear envelope.	protein_coding	 (SINE4)	 (SINE4)	
AT2G28870	AT2G28870.1	cyclin-dependent kinase inhibitor SMR1-like protein;(source:Araport11)	protein_coding	 (SMR10)	 (SMR10)	
AT2G28330	AT2G28330.1	hypothetical protein;(source:Araport11)	protein_coding	 (SMR11)	 (SMR11)	
AT5G59360	AT5G59360.1	hypothetical protein;(source:Araport11)	protein_coding	 (SMR113)	 (SMR113)	
AT2G37610	AT2G37610.1	hypothetical protein;(source:Araport11)	protein_coding	 (SMR12)	 (SMR12)	
AT5G02420	AT5G02420.1	cyclin-dependent kinase inhibitor SMR3-like protein;(source:Araport11)	protein_coding	 (SMR3)	 (SMR3)	
AT5G40460	AT5G40460.1	cyclin-dependent kinase inhibitor SMR3-like protein;(source:Araport11)	protein_coding	 (SMR6)	 (SMR6)	
AT1G10690	AT1G10690.1	cyclin-dependent kinase inhibitor;(source:Araport11)	protein_coding	 (SMR8)	 (SMR8)	
AT1G51355	AT1G51355.1	cyclin-dependent kinase inhibitor SMR3-like protein;(source:Araport11)	protein_coding	 (SMR9)	 (SMR9)	
AT3G48210	AT3G48210.1	kinetochore protein;(source:Araport11)	protein_coding	 (SPC25)	 (SPC25)	
AT5G44568	AT5G44568.1	Secreted peptide which functions in plant growth and pathogen defense.	protein_coding	 (STMP10)	 (STMP10)	
AT1G22890	AT1G22890.1	Secreted peptide which functions in plant growth and pathogen defense.	protein_coding	 (STMP2)	 (STMP2)	
AT1G65484	AT1G65484.1	Secreted peptide which functions in plant growth and pathogen defense.	protein_coding	 (STMP3)	 (STMP3)	
AT1G65486	AT1G65486.1	Secreted peptide which functions in plant growth and pathogen defense.	protein_coding	 (STMP4)	 (STMP4)	
AT1G65490	AT1G65490.1	Secreted peptide which functions in plant growth and pathogen defense.	protein_coding	 (STMP5)	 (STMP5)	
AT1G65500	AT1G65500.1	Secreted peptide which functions in plant growth and pathogen defense.	protein_coding	 (STMP6)	 (STMP6)	
AT1G65510	AT1G65510.1	Secreted peptide which functions in plant growth and pathogen defense.	protein_coding	 (STMP7)	 (STMP7)	
AT5G08760	AT5G08760.1	Secreted peptide which functions in plant growth and pathogen defense.	protein_coding	 (STMP8)	 (STMP8)	
AT1G27595	AT1G27595.1	Encodes a protein of unknown function containing a Symplekin C domain that is involved in negative regulation of glucose response. Mutants show increased sensitivity to glucose with a variety of assays.	protein_coding	 (TANG1)	 (TANG1)	
AT2G47960	AT2G47960.1	Part of multi-protein complex, acting as guanine nucleotide exchange factors (GEFs) and possibly as tethers, regulating intracellular trafficking.	protein_coding	 (TRAPPC13)	 (TRAPPC13)	
AT3G61800	AT3G61800.1	ENTH/VHS protein;(source:Araport11)	protein_coding	 (UVSSA)	 (UVSSA)	
AT4G31430	AT4G31430.2	Encodes a plant-specific protein that physically interacts with CRWN1 and its homolog CRWN4 and localizes at the inner nuclear membrane. KAKU4 deforms the nuclear envelope in a dose-dependent manner, in association with nuclear membrane invagination and stack formation.	protein_coding	(JAPANESE FOR NUCLEUS) 4 (KAKU4)	(JAPANESE FOR NUCLEUS) 4 (KAKU4)	
AT3G48510	AT3G48510.1	AtIII18x5-like protein;(source:Araport11)	protein_coding	ABA-INDUCED TRANSCRIPTION REPRESSOR 2 (AITR2)	DYNAMIC INFLUENCER OF GENE EXPRESSION 1 (DIG1); (AITR2);ABA-INDUCED TRANSCRIPTION REPRESSOR 2 (AITR2)	
AT5G50360	AT5G50360.1	von willebrand factor A domain protein;(source:Araport11)	protein_coding	ABA-INDUCED TRANSCRIPTION REPRESSOR 5 (AITR5)	ABA-INDUCED TRANSCRIPTION REPRESSOR 5 (AITR5);DYNAMIC INFLUENCER OF GENE EXPRESSION 2 (DIG2)	
AT5G63350	AT5G63350.1	von willebrand factor A domain protein;(source:Araport11)	protein_coding	ABA-INDUCED TRANSCRIPTION REPRESSOR 6 (AITR6)	ABA-INDUCED TRANSCRIPTION REPRESSOR 6 (AITR6);DIG-LIKE 1 (DIL1)	
AT5G57790	AT5G57790.1	hypothetical protein;(source:Araport11)	protein_coding	ABORTED GAMETOPHYTE 1 (AOG1)	ABORTED GAMETOPHYTE 1 (AOG1)	
AT4G11940	AT4G11940.1	Encodes a nuclear localized dosage sensitive paternally expressed imprinted gene. It is a member of a family of molecular chaperones called J-domain. Loss of ADM function suppresses seed abortion of triploid embryos and also partially rescues the effect of mea mutations.	protein_coding	ADMETOS (ADM)	ADMETOS (ADM)	
AT2G24100	AT2G24100.1	ATP-dependent DNA helicase;(source:Araport11)	protein_coding	ALTERED SEED GERMINATION 1 (ASG1)	ALTERED SEED GERMINATION 1 (ASG1)	
AT5G47580	AT5G47580.1	transmembrane protein;(source:Araport11)	protein_coding	ALTERED SEED GERMINATION 7 (ASG7)	ALTERED SEED GERMINATION 7 (ASG7)	
AT2G40475	AT2G40475.1	hypothetical protein;(source:Araport11)	protein_coding	ALTERED SEED GERMINATION 8 (ASG8)	ALTERED SEED GERMINATION 8 (ASG8)	
AT3G03210	AT3G03210.1	Pmr5/Cas1p GDSL/SGNH-like acyl-esterase family protein;(source:Araport11)	protein_coding	ALTERED XYLOGLUCAN 9 (AXY9)	ALTERED XYLOGLUCAN 9 (AXY9)	
AT1G28530	AT1G28530.1	Encodes a protein that localizes to both chloroplasts and amyloplasts and is required for both chloroplast and mesophyll development.	protein_coding	ANGULATA 10 (ANU10)	ANGULATA 10 (ANU10)	
AT3G63270	AT3G63270.1	A mutation in ANTAGONIST OF LHP1 1 (ALP1) suppresses the phenotype of lhp1 mutant plants. ALP1 interacts genetically with several  PcG and trxG components and antagonizes PcG silencing. The interaction has a negative effect on polycomb-mediated gene repression since double mutant combinations of clf alp1 or lhp1 alp1 show supression of the clf and lhp1 single mutant phenotypes. ALP1 domestication probably occured at the root of angiosperm diversification coincident with mutation of conserved residues important for endonuclease activity.	protein_coding	ANTAGONIST OF LHP1-1 (ALP1)	ANTAGONIST OF LHP1-1 (ALP1)	
AT4G13540	AT4G13540.1	ADR is a peroxisome localized, myristoylated protein. It is expressed in flowers and plays a role in suppressing ROS accumulation in anthers. Overexpression results in reduced ROS, lower levels of NST1 and NST2 and, consequently alterations in lignification of the anther endothecium resulting in male sterility.	protein_coding	ANTHER DEHISCENCE REPRESSOR (ADR)	ANTHER DEHISCENCE REPRESSOR (ADR)	
AT2G31440	AT2G31440.1	Encodes a gamma-secretase subunit.  Associates with other subunits in intracellular membrane compartments.	protein_coding	APH-1 (APH-1)	APH-1 (APH-1)	
AT5G20635	AT5G20635.1	Encodes an atypical heterotrimeric G-protein gamma-subunit involved in guard cell K+-channel regulation and morphological development.	protein_coding	ARABIDOPSIS G PROTEIN GAMMA SUBUNIT 3 (AGG3)	ARABIDOPSIS G PROTEIN GAMMA SUBUNIT 3 (AGG3)	
AT1G78790	AT1G78790.1	Encodes a protein with high similarity to mammalian MHF2 that acts in the same pathway as FANCM to restrain class II meiotic crossing over.	protein_coding	ARABIDOPSIS HOMOLOG OF MAMMALIAN MHF2 (MHF2)	 (ATMHF2);ARABIDOPSIS HOMOLOG OF MAMMALIAN MHF2 (MHF2)	
AT1G79090	AT1G79090.1	Encodes a component of the mRNA decapping machinery that is found in complexes with and is phosphorylated by MPK4.  The protein can be found in P-bodies after treatment with PAMPs. Pat1 mutants exhibit dwarfism and de-repressed immunity dependent on the immune receptor SUMM2.  The pat1 constitutive defense phenotype is suppressed by summ2 such that pat1 summ2 mutants display a wild-type phenotype in response to biotrophic and necrotrophic pathogens.	protein_coding	ARABIDOPSIS HOMOLOG OF YEAST PAT1 (PAT1)	ARABIDOPSIS HOMOLOG OF YEAST PAT1 (PAT1)	
AT2G28130	AT2G28130.1	NSE5 subunit of the SMC5/6 complex.	protein_coding	ARABIDOPSIS SNI1 ASSOCIATED PROTEIN 1 (ASAP1)	ARABIDOPSIS SNI1 ASSOCIATED PROTEIN 1 (ASAP1)	
AT1G34350	AT1G34350.2	Encodes a putative transmembrane protein that has been localized around the nucleus and is involved in pollen germination and pollen tube growth.	protein_coding	ARABIDOPSIS TRANSMEMBRANE PROTEIN 18 (TMEM18)	ARABIDOPSIS TRANSMEMBRANE PROTEIN 18 (TMEM18)	
AT5G36925	AT5G36925.1	hypothetical protein;(source:Araport11)	protein_coding	ARACIN1 (ARACIN1)	ARACIN1 (ARACIN1)	
AT5G36920	AT5G36920.1	Secreted peptide which functions in plant growth and pathogen defense.	protein_coding	ARACIN2 (ARACIN2)	 (STMP9);ARACIN2 (ARACIN2)	
AT2G46980	AT2G46980.2	Encodes ASY3, a coiled-coil domain protein that is required for normal meiosis.	protein_coding	ASYNAPTIC 3 (ASY3)	ARABIDOPSIS THALIANA ASYNAPTIC 3 (ATASY3);ASYNAPTIC 3 (ASY3)	
AT2G33793	AT2G33793.1	Encodes a protein component of the pre-synaptic chromosome axis. Mutants show quantitative defects in meiotic recombination. Interacts with ASY1/ASY3.	protein_coding	ASYNAPTIC4 (ASY4)	ASYNAPTIC4 (ASY4)	
AT3G17300	AT3G17300.1	COMPLEX 1 LYR-like protein;(source:Araport11)	protein_coding	AT3G17300 (EMB2786)	AT3G17300 (EMB2786)	
AT2G45980	AT2G45980.1	Encodes an Atg8-interacting protein that is partially associated with the ER during favorable growth conditions and becomes mainly associated with a spherical compartment that dynamically moves along the ER network. In stress induced plants, ATI1 is localized to a novel plastid associated bodies that are transported to vesicles, in what appears to be an autophagy dependent process. ATI1 interacts with number of other plastid proteins such as NPQ4 and APE1.	protein_coding	ATG8-INTERACTING PROTEIN 1 (ATI1)	ATG8-INTERACTING PROTEIN 1 (ATI1)	
AT4G00355	AT4G00355.3	Encodes an Atg8-interacting protein that is partially associated with the ER during favorable growth conditions and becomes mainly associated with a spherical compartment that dynamically moves along the ER network.	protein_coding	ATG8-INTERACTING PROTEIN 2 (ATI2)	ATG8-INTERACTING PROTEIN 2 (ATI2)	
AT2G37300	AT2G37300.2	transmembrane protein;(source:Araport11)	protein_coding	ATP-BINDING CASSETTE I16 (ABCI16)	ATP-BINDING CASSETTE I16 (ABCI16)	
AT2G41350	AT2G41350.2	Encodes AUG1, likely to be in an augmin-like complex with AUG3.	protein_coding	AUGMIN 1 (AUG1)	 (AtAUG1);EMBRYO DEFECTIVE 2819 (EMB2819);AUGMIN 1 (AUG1)	
